Sexo,Edad,N.º de accidentes
Hombre,20 A 24 AÑOS,3
Hombre,25 A 29 AÑOS,1
Hombre,30 A 34 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,5
Hombre,50 A 54 AÑOS,4
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,2
Mujeres,40 A 44 AÑOS,1
Mujeres,55 A 59 AÑOS,2
Hombre,20 A 24 AÑOS,1
Hombre,30 A 34 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,4
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,2
Mujeres,55 A 59 AÑOS,1
Hombre,45 A 49 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,20 A 24 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,20 A 24 AÑOS,2
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,5
Hombre,50 A 54 AÑOS,4
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,2
Mujeres,40 A 44 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,4
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,2
Mujeres,55 A 59 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,20 A 24 AÑOS,2
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,5
Hombre,50 A 54 AÑOS,3
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,3
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,20 A 24 AÑOS,2
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,5
Hombre,50 A 54 AÑOS,3
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,3
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,20 A 24 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,5
Hombre,50 A 54 AÑOS,2
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,2
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,55 A 59 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,45 A 49 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,2
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,35 A 39 AÑOS,4
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,2
Hombre,50 A 54 AÑOS,2
Hombre,55 A 59 AÑOS,2
Hombre,60 A 64 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,25 A 29 AÑOS,1
Mujeres,40 A 44 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,3
Hombre,50 A 54 AÑOS,1
Hombre,55 A 59 AÑOS,1
Hombre,60 A 64 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,3
Hombre,45 A 49 AÑOS,2
Hombre,50 A 54 AÑOS,1
Hombre,55 A 59 AÑOS,1
Hombre,60 A 64 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,25 A 29 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,2
Hombre,45 A 49 AÑOS,2
Hombre,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,2
Hombre,45 A 49 AÑOS,2
Hombre,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,2
Hombre,45 A 49 AÑOS,2
Hombre,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,3
Hombre,40 A 44 AÑOS,2
Hombre,45 A 49 AÑOS,2
Hombre,55 A 59 AÑOS,1
Hombre,35 A 39 AÑOS,1
Hombre,40 A 44 AÑOS,1
Hombre,45 A 49 AÑOS,1
Hombre,35 A 39 AÑOS,1
Hombre,40 A 44 AÑOS,1
Hombre,45 A 49 AÑOS,1
